Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007096,01,5,196231926161,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007097,01,5,195810000690,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007098,01,5,195970095131,CASH,------,2050,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007099,01,5,188421933943,CASH,------,550,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007100,01,8,196110001004,CASH,------,300,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007101,01,8,196110001284,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007102,01,5,195500065503,CASH,------,230,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007103,01,8,195260001898,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007104,01,5,195680077661,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007105,01,5,195012927181,CASH,------,780,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007106,01,5,195011911981,CASH,------,570,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007107,01,5,195011989093,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007108,01,8,195731946502,CASH,------,180,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007109,01,8,195731954998,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007110,01,5,195811915802,CASH,------,490,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007111,01,5,195790083429,CASH,------,140,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007112,01,5,195791935607,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007113,01,5,195790083526,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007114,01,5,195790083437,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007115,01,5,195011927543,CASH,------,1400,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007116,01,6,196191989467,CASH,------,740,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007117,03,8,195620002441,NEFT,------,2800,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007117,02,8,195620002441,NEFT,------,1840,--------
010965012-Medha Sub Division Office Coll.,10-Dec-25,0007118,01,0,195010053337,NEFT,------,2500,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161570,01,1,195880001626,CASH,------,490,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161571,01,8,195450061528,CASH,------,1120,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161572,01,8,195042253575,CASH,------,130,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161573,01,8,195211949096,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161574,01,8,195040046297,CASH,------,440,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161575,01,8,195491922295,CASH,------,900,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161576,01,8,195040053846,CASH,------,230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161577,01,8,195041956084,CASH,------,570,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161578,01,8,195041947042,CASH,------,460,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161579,01,8,195440001195,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161580,01,8,195040022401,CASH,------,130,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,10-Dec-25,0161581,01,8,195041984231,CASH,------,190,--------
