Consumer Wise Detail Report,,,,,,,,,
Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,18-Dec-25,0007229,01,5,195320001680,CASH,------,550,--------
010965012-Medha Sub Division Office Coll.,18-Dec-25,0007230,01,0,196801925326,CASH,------,2400,--------
010965012-Medha Sub Division Office Coll.,18-Dec-25,0007231,01,5,195010053426,CASH,------,3620,--------
010965012-Medha Sub Division Office Coll.,18-Dec-25,0007232,01,5,195290001540,CASH,------,150,--------
010965012-Medha Sub Division Office Coll.,18-Dec-25,0007233,01,0,196230000711,CASH,------,1060,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162160,01,8,195210000629,CASH,------,550,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162161,01,8,195210002249,CASH,------,1060,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162162,01,8,195110001733,CASH,------,140,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162163,01,8,195111933231,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162164,01,8,195110002560,CASH,------,150,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162165,01,8,195211928919,CASH,------,390,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162166,01,8,196901920810,CASH,------,250,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162167,01,8,196900001110,CASH,------,3360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162168,01,8,195050032243,CASH,------,390,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162169,01,1,195871977971,CASH,------,890,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162170,01,8,195040045878,CASH,------,560,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162171,01,8,196591948140,CASH,------,180,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,18-Dec-25,0162172,01,8,195140002581,CASH,------,490,--------
